Year,Spring_Start,Summer_Start,Fall_Start,Winter_Start
2000,2000-03-20 07:35,2000-06-21 01:47,2000-09-22 17:27,2000-12-21 13:37
2001,2001-03-20 13:30,2001-06-21 07:37,2001-09-22 23:04,2001-12-21 19:21
2002,2002-03-20 19:16,2002-06-21 13:24,2002-09-23 04:55,2002-12-22 01:14
2003,2003-03-21 00:59,2003-06-21 19:10,2003-09-23 10:46,2003-12-22 07:03
2004,2004-03-20 06:48,2004-06-21 00:56,2004-09-22 16:29,2004-12-21 12:41
2005,2005-03-20 12:33,2005-06-21 06:46,2005-09-22 22:23,2005-12-21 18:34
2006,2006-03-20 18:25,2006-06-21 12:25,2006-09-23 04:03,2006-12-22 00:22
2007,2007-03-21 00:07,2007-06-21 18:06,2007-09-23 09:51,2007-12-22 06:07
2008,2008-03-20 05:48,2008-06-20 23:59,2008-09-22 15:44,2008-12-21 12:03
2009,2009-03-20 11:43,2009-06-21 05:45,2009-09-22 21:18,2009-12-21 17:46
2010,2010-03-20 17:32,2010-06-21 11:28,2010-09-23 03:08,2010-12-21 23:38
2011,2011-03-20 23:20,2011-06-21 17:16,2011-09-23 09:04,2011-12-22 05:30
2012,2012-03-20 05:14,2012-06-20 23:08,2012-09-22 14:48,2012-12-21 11:11
2013,2013-03-20 11:01,2013-06-21 05:03,2013-09-22 20:44,2013-12-21 17:11
2014,2014-03-20 16:57,2014-06-21 10:51,2014-09-23 02:29,2014-12-21 23:03
2015,2015-03-20 22:45,2015-06-21 16:37,2015-09-23 08:20,2015-12-22 04:47
2016,2016-03-20 04:30,2016-06-20 22:34,2016-09-22 14:21,2016-12-21 10:44
2017,2017-03-20 10:28,2017-06-21 04:24,2017-09-22 20:01,2017-12-21 16:27
2018,2018-03-20 16:15,2018-06-21 10:07,2018-09-23 01:54,2018-12-21 22:22
2019,2019-03-20 21:58,2019-06-21 15:54,2019-09-23 07:50,2019-12-22 04:19
2020,2020-03-20 03:49,2020-06-20 21:43,2020-09-22 13:30,2020-12-21 10:02
2021,2021-03-20 09:37,2021-06-21 03:32,2021-09-22 19:21,2021-12-21 15:59
